recipe_id,cuisine_id
48704,41
127164,13
127873,41
49576,41
127186,41
127355,33
127355,55
47636,41
48094,41
48686,41
49518,42
123208,41
123208,27
123341,48
50168,33
123063,27
123063,55
77630,41
122792,27
47888,41
123005,41
122535,41
50188,41
122055,27
122055,55
122781,41
122687,33
122687,55
47890,41
119427,41
122223,41
47598,41
77873,40
119408,30
47918,41
87873,41
122116,41
119099,36
119323,41
49572,41
118681,41
47920,41
47920,19
119248,41
48994,41
119171,41
113204,36
118893,41
118537,41
118499,41
118567,41
118631,41
118182,27
118182,33
118182,55
49044,41
118615,27
50276,33
49874,33
117979,36
117979,6
113519,41
118238,27
113414,41
113887,41
117811,41
117811,27
117668,21
113901,41
113781,41
114012,41
113808,41
114075,41
49458,33
50226,33
117470,55
113616,41
112935,41
49056,41
113657,41
49586,41
50444,41
49946,33
111661,41
112614,41
113162,41
111667,27
50080,41
50080,20
113504,27
113504,55
111845,45
49712,41
110160,33
49822,41
49956,41
110727,41
49716,41
111974,41
112439,50
112481,41
74946,41
49414,41
49752,41
112272,41
48328,33
110986,41
111344,13
111738,41
112119,41
111201,41
49760,41
111306,35
111306,44
111306,45
49080,41
111051,41
109043,41
111116,41
110605,41
110940,41
110336,41
49770,41
110509,41
110538,41
110304,33
110501,41
110039,41
109556,41
109735,41
108781,41
49768,41
49738,41
50062,12
109367,41
108534,41
108534,35
109206,41
49116,41
49620,41
108607,41
48344,41
109004,41
108647,41
108647,27
49776,33
48368,41
103982,41
108160,41
108160,50
48998,23
108062,56
108062,52
108995,41
47690,41
108966,41
90556,41
50194,41
50194,33
108116,41
108154,41
107897,41
107992,41
107626,50
106155,30
107377,41
107377,29
50456,41
107156,41
107156,24
107156,35
107663,27
107663,55
107428,40
107337,41
107337,33
106566,36
106771,35
106771,18
50216,29
48056,41
101910,36
91065,41
106740,41
106341,41
106225,41
49190,33
105264,41
105936,41
104888,41
48496,41
49862,41
105450,48
49560,41
105701,41
105976,41
105976,13
104664,27
50388,41
105535,41
105535,29
105077,41
105543,41
90119,29
103580,41
103580,26
104901,41
105342,29
105342,13
105342,45
50328,41
104941,41
47984,41
104344,36
104688,41
104038,41
104038,55
104729,41
49242,41
50322,12
104681,41
104247,41
103738,41
104029,41
49034,35
50316,41
49510,41
103828,41
103308,41
103754,41
103030,41
103030,21
103431,41
103723,12
102868,27
102868,33
50012,41
49330,29
50472,29
48260,29
103201,29
103201,45
103121,41
50240,33
49682,33
103268,41
103268,26
102210,41
49254,41
102716,23
102935,41
50508,24
48402,36
48402,42
49348,41
47818,29
101440,38
93255,41
101677,41
102576,41
49594,41
47900,41
101810,36
101810,23
100892,55
102070,41
49884,41
101380,41
100152,41
49790,33
50510,41
80605,41
50458,41
100761,58
49548,55
48200,46
100770,41
99891,36
99997,41
100194,41
47630,41
99441,36
49062,41
100991,41
53916,41
53916,36
100201,41
50384,41
99435,35
99435,17
99784,33
99469,6
99718,41
47678,41
98448,41
49562,41
49028,41
99525,41
48774,41
50040,41
50414,33
50158,29
49488,41
99413,36
99313,41
48788,41
99196,41
99196,36
98568,35
48306,41
48306,45
98547,41
50198,42
95745,41
93800,41
50098,41
98387,41
98387,33
94012,7
94012,49
84488,41
94178,41
98410,26
94025,41
98538,41
98314,41
94394,41
97823,41
94035,36
49804,33
94223,41
94307,41
49674,41
94284,33
94365,41
49374,41
94246,41
94185,41
94185,27
93964,41
53382,41
94055,41
94003,41
93968,33
93733,41
93417,41
93845,41
93807,41
49652,36
49652,23
93493,41
93654,13
93459,41
93351,41
92829,41
93359,41
93554,41
48010,41
92678,41
93302,41
93111,41
93310,41
92929,41
49386,41
48008,41
74965,33
92395,41
92785,41
92901,36
92532,41
50094,41
92102,41
48786,41
92821,41
92081,41
91957,41
92541,41
74705,41
92299,41
91823,41
57123,29
91488,6
91762,41
50268,41
92279,41
92236,41
92236,33
48238,41
91835,41
92119,35
49112,41
91768,41
47754,41
49018,41
74216,41
74216,29
91373,41
56804,41
49788,41
49444,41
48862,41
91531,41
91174,41
91397,41
49476,41
49476,29
91467,41
91203,41
73869,33
91249,41
91295,41
49696,41
91127,41
49462,41
90358,41
49174,24
49174,35
90988,36
49558,41
91003,36
53935,41
49866,41
48914,41
90609,33
90754,41
50452,41
90679,35
90442,41
90616,41
90431,35
90461,41
47810,41
90205,35
48088,33
50128,41
48676,48
50120,41
89552,41
48656,41
89960,41
89773,41
90021,35
50370,41
49870,41
89240,41
49514,41
49516,41
89680,41
49854,41
89523,58
89637,41
50330,33
49612,41
47570,23
47570,14
52593,41
52593,26
49960,41
89390,41
89058,41
49954,41
48708,41
78541,41
50410,33
89009,41
48712,29
89067,41
89421,41
71281,29
49228,41
88788,41
50432,35
88927,36
88502,12
49622,41
48058,35
88729,41
88729,33
88516,33
47894,41
49892,41
88619,41
88264,41
87613,41
50104,48
88271,41
48630,41
50078,41
87830,41
88524,41
87953,36
87555,33
50274,33
87363,41
49188,41
87480,45
50070,41
87250,41
87250,29
87250,45
50234,41
86193,41
85918,41
85918,9
86472,33
87373,41
49230,41
49230,29
86841,41
85868,41
47930,41
81211,33
47666,4
50170,41
49640,41
86466,41
49338,41
49338,33
48224,29
85604,41
49998,45
47676,41
86128,41
83710,41
85243,41
86120,41
85611,24
85611,35
85578,41
85578,45
48514,41
83206,41
48796,36
50412,24
49308,41
47956,41
50162,33
81204,41
84504,41
84334,41
47700,41
82939,41
82939,33
49880,33
84100,33
83528,41
50338,33
49662,41
50238,40
48536,33
82884,41
50044,41
47988,41
48276,41
58143,41
81135,41
81147,41
49376,41
48006,41
49628,41
48012,41
49102,41
50060,41
49550,41
80946,50
49238,29
48558,33
80779,41
48016,41
80758,42
49648,41
80383,48
80500,41
80358,33
79855,33
80563,36
80318,41
80143,41
49480,41
49480,33
50462,33
75609,41
80081,36
80006,41
50364,10
79144,41
50302,41
79540,42
79984,33
79794,41
79794,33
79546,33
50138,41
50134,41
49554,41
49206,41
49500,41
79389,41
79389,33
48066,41
49236,29
48126,33
78945,41
79167,41
79044,41
79044,33
79095,35
89124,41
47854,23
47854,14
78801,23
49226,41
49536,45
49894,41
49972,38
78832,41
50332,41
78616,41
78794,41
78529,29
49616,41
78665,41
49856,41
73116,48
78535,41
50000,38
75885,36
49926,41
50206,38
78082,41
78192,41
49538,48
77752,36
78156,41
77150,33
77696,41
77690,36
77983,41
77769,41
77590,33
50100,23
50100,14
77845,41
77896,41
50498,38
50498,35
77114,26
77217,33
76136,41
77658,36
49810,50
49466,41
77192,33
76786,36
76786,14
77393,35
48266,41
76976,33
77038,36
76825,41
77064,41
76519,41
76761,35
76988,41
76859,36
76565,41
76808,41
76587,41
49394,41
76844,41
76249,9
76311,48
76751,33
75559,23
75987,12
76203,1
75695,41
73780,41
50262,41
47966,41
49936,24
49936,35
75913,48
76021,41
75673,33
75427,41
75596,34
75876,41
75742,33
75837,48
75865,41
50016,41
49962,41
50294,33
49694,41
47738,41
75418,41
75486,41
75602,41
75176,41
75170,41
57750,41
50360,33
74868,50
75055,41
74970,41
49402,41
49402,33
74626,41
72128,41
74534,41
74634,41
48570,41
49328,41
74541,41
49440,41
74650,41
74358,41
48586,41
49014,33
49130,41
74352,36
74233,41
74133,41
50300,41
74036,54
74036,35
73839,41
73560,41
73560,33
50288,41
73543,33
73097,26
49530,41
73497,41
49158,29
50286,33
73262,41
72985,41
70552,41
70552,50
47908,48
73061,50
72567,41
50298,41
49606,33
72634,51
49950,33
72751,33
72459,22
72848,47
72848,30
72546,41
72372,41
72120,41
71933,36
71933,23
71939,41
48660,33
72767,53
72249,41
72062,41
72062,33
72641,41
72641,45
49100,41
50284,41
72021,41
71864,41
50218,29
49706,35
49212,41
50090,41
71768,40
50408,41
49170,41
49210,41
71464,29
71215,41
71215,15
47750,29
50150,41
71270,41
49546,41
71056,41
71242,12
71022,33
70985,41
50416,41
48988,41
64534,41
47906,41
70417,53
71067,41
50034,41
70975,41
70368,48
49944,33
70746,33
70615,12
50174,42
70322,36
70276,48
70276,30
49282,33
63591,29
70683,41
50386,29
50448,41
64479,29
64479,45
64604,53
64604,30
64119,41
64119,28
64453,36
64453,23
50420,29
64145,33
50312,23
50312,14
49984,41
63759,36
49818,23
49818,14
50256,41
49638,33
64071,41
48780,41
50428,41
49908,41
49908,57
56765,41
56765,29
63535,41
50132,33
50116,36
50116,23
49092,41
62419,41
57895,24
62313,26
62469,36
62469,42
49050,41
50046,41
58119,41
49996,24
49996,35
49996,40
49750,33
58125,33
50032,41
57905,41
57989,29
57979,41
58843,41
58225,33
57636,41
50052,41
50038,41
57954,41
49724,41
56874,41
58156,41
49734,41
57270,41
47732,41
49650,41
47734,41
48288,41
49668,41
56273,41
50422,41
49406,33
56619,41
49030,41
50072,41
56732,41
56153,41
55945,41
49342,38
49342,35
56311,33
54887,12
55153,41
48044,41
50202,41
50270,33
50028,33
49194,41
50204,29
56084,41
54867,41
56090,41
50454,33
49720,41
50296,33
55884,41
54383,14
54818,41
47644,36
47644,32
53909,36
53909,23
54645,33
54317,36
54317,58
49924,33
48740,41
53778,26
50480,33
53878,41
47582,41
47582,33
49470,41
50374,33
53715,41
52854,41
48666,29
51258,41
52789,41
52340,29
52297,41
52297,25
52104,29
52104,45
51968,41
47580,36
51911,41
51739,41
47572,41
47572,9
49836,36
49836,23
49836,2
51935,41
47578,41
47576,41
48124,41
48950,41
47588,41
49532,41
47574,41
47590,41
47586,41
47584,41
47592,41
47596,41
47594,41
47602,41
47600,41
47604,33
47606,33
47614,41
47608,29
47612,23
47612,14
47620,41
47620,29
47616,41
47618,41
47624,41
47610,41
47622,41
47628,41
47634,41
47632,41
47626,41
47638,33
47640,41
47646,41
47648,41
47654,41
47658,29
47664,41
47650,41
47652,41
47670,41
47642,41
47660,41
47668,23
47668,14
47662,41
47672,41
47674,41
47680,41
47682,41
47684,41
47692,12
47694,41
47688,33
47686,29
47704,41
47702,41
47706,41
47710,41
47712,41
47722,41
47720,41
47714,41
47726,41
47698,41
47724,41
47696,29
47730,41
47728,41
50426,41
47740,29
47742,41
47744,41
48018,41
47736,41
48290,41
47756,41
47746,41
47760,41
47752,41
47762,41
47768,33
47758,41
47748,41
47764,41
48048,41
47766,41
47766,29
