recipe_id,ingredient_id
48704,914
48704,3089
48704,3234
48704,3196
48704,1641
48704,2706
48704,3498
48704,3016
127164,1516
127164,2306
127164,714
127164,3331
127164,3170
127164,1733
127164,1191
127164,1832
127164,1620
127164,3402
127164,21
127164,1757
127873,3406
127873,2217
127873,2305
127873,3530
127873,3574
127873,404
127873,3322
127873,1447
127873,2619
127873,2299
127873,833
127873,2601
127873,782
127873,3151
127873,3025
127873,1050
49576,2635
49576,586
49576,685
49576,1754
49576,1370
49576,792
49576,1521
49576,714
49576,2139
49576,1503
49576,118
49576,1252
127186,2871
127186,2263
127186,1521
127186,685
127186,616
127186,1030
127186,2601
127186,3186
127186,1286
127355,-1
127355,1556
127355,2807
127355,1154
127355,714
127355,1252
127355,2263
127355,2237
127355,1521
127355,685
47636,2562
47636,3479
47636,3331
47636,2837
47636,1271
47636,83
48094,2520
48094,1521
48094,685
48094,29
48094,1154
48094,2263
48094,59
48094,1521
48094,1869
48094,1621
48094,2106
48094,2249
48686,1754
48686,532
48686,1521
48686,685
48686,2319
48686,2750
48686,457
48686,1154
48686,404
48686,2183
48686,1030
48686,3095
48686,2538
48686,794
49518,40
49518,1861
49518,714
49518,1812
49518,2336
49518,3587
49518,3641
49518,536
49518,1189
49518,3594
49518,3310
49518,2440
49518,2467
49518,3234
49518,1733
49518,251
49518,2357
123208,2566
123208,1521
123208,2263
123208,3331
123208,1273
123208,714
123208,792
123208,2331
123208,3078
123208,2440
123341,2299
123341,2566
123341,1030
123341,257
123341,2973
123341,1970
123341,1121
123341,1445
123341,3054
123341,1521
123341,685
123341,2628
123341,2914
50168,3509
50168,2287
50168,172
50168,3208
50168,2240
50168,1521
50168,3068
50168,2837
50168,3233
123063,3671
123063,593
123063,2830
123063,-1
123063,917
123063,2803
123063,2217
123063,2562
123063,1388
123063,2679
123063,1435
123063,2611
123063,519
123063,2440
77630,1823
77630,914
77630,3347
77630,3234
77630,1733
77630,3438
77630,1177
77630,1521
122792,385
122792,2263
122792,3186
122792,1521
122792,685
122792,1836
47888,2562
47888,2803
47888,1521
47888,685
123005,651
123005,666
123005,2864
123005,-1
123005,2656
123005,2149
123005,914
123005,3089
123005,3347
123005,2140
123005,1641
123005,2664
122535,1972
122535,823
122535,1883
122535,174
50188,1972
50188,2211
50188,399
50188,3344
50188,1883
50188,3054
122055,2263
122055,2914
122055,2342
122055,714
122055,1521
122055,2533
122055,2002
122055,968
122055,1844
122055,3535
122055,3506
122055,312
122055,1154
122055,1996
122055,2812
122781,1957
122781,133
122781,228
122781,2639
122781,1338
122781,2149
122781,3479
122781,914
122781,3089
122781,1815
122781,3034
122781,3347
122781,3016
122781,3558
122781,1733
122781,2694
122687,1762
122687,2299
122687,3070
122687,3331
122687,3258
122687,3068
122687,828
122687,519
122687,2562
122687,2402
122687,2217
122687,2440
122687,3479
122687,1145
122687,685
47890,914
47890,3035
47890,823
47890,630
47890,3002
47890,3322
119427,870
119427,1754
119427,1521
119427,776
119427,910
119427,2710
119427,1252
119427,830
119427,3186
119427,3364
119427,2966
119427,1754
122223,3548
122223,714
122223,3143
122223,3035
122223,2187
122223,3256
122223,1556
122223,3100
122223,823
122223,3364
122223,914
122223,1252
122223,1050
122223,3126
122223,1521
122223,685
122223,2803
122223,1286
47598,29
47598,665
47598,1954
47598,1620
47598,3061
47598,2875
47598,914
47598,1521
47598,685
47598,703
77873,1698
77873,1521
77873,179
77873,3226
77873,914
77873,552
77873,2263
77873,2344
77873,2990
77873,3364
77873,910
77873,1521
119408,1754
119408,2794
119408,1741
119408,196
119408,2562
119408,519
119408,426
119408,914
119408,2071
119408,1133
47918,3118
47918,1340
47918,3491
47918,1177
47918,228
47918,1521
47918,2428
47918,3391
47918,2929
47918,3587
47918,142
87873,1754
87873,3331
87873,1548
87873,1503
87873,3627
87873,2217
87873,2551
87873,3143
87873,685
87873,-1
122116,519
122116,2217
122116,3574
122116,584
122116,615
122116,3186
122116,2299
122116,557
122116,2071
122116,1963
119099,1733
119099,1948
119099,3407
119099,251
119099,3054
119099,1039
119099,1976
119099,2135
119099,639
119099,2562
119099,3170
119099,1955
119099,1896
119323,944
119323,2566
119323,1285
119323,1007
119323,1503
119323,880
119323,3095
119323,2538
119323,1013
119323,3040
49572,914
49572,2526
49572,2478
49572,3035
49572,564
49572,3322
49572,2914
49572,2217
49572,552
118681,914
118681,3035
118681,823
118681,476
118681,1521
118681,685
118681,2337
118681,3169
118681,2
118681,2394
47920,2475
47920,2484
47920,1503
47920,3455
47920,3559
47920,1252
47920,1549
47920,3405
119248,1940
119248,1177
119248,1521
119248,615
119248,914
119248,437
119248,1530
119248,3054
119248,1702
119248,524
119248,1106
48994,1853
48994,3035
48994,2601
48994,3322
48994,3364
48994,1521
48994,685
48994,2803
48994,1971
48994,3089
48994,823
48994,3186
48994,630
48994,1521
48994,685
48994,2952
48994,3126
48994,2704
48994,630
119171,1754
119171,-1
119171,979
119171,3331
119171,2953
119171,819
119171,630
119171,426
119171,609
119171,232
119171,703
119171,1521
113204,2804
113204,89
113204,714
113204,350
113204,1640
113204,1151
113204,232
113204,581
113204,3594
113204,2299
113204,714
113204,232
113204,1050
113204,531
113204,1521
118893,3081
118893,1556
118893,1845
118893,2331
118893,2024
118893,1154
118893,2327
118537,2803
118537,3284
118537,2819
118537,2538
118537,1237
118537,2628
118537,1328
118537,3509
118537,1521
118537,1832
118537,504
118537,404
118537,969
118499,3438
118499,176
118499,1177
118499,228
118499,1521
118499,1930
118499,914
118499,3269
118499,3347
118499,522
118567,73
118567,2335
118567,2926
118567,920
118567,1531
118567,3095
118567,2431
118567,2497
118631,3509
118631,1521
118631,2551
118631,685
118631,3208
118631,2263
118631,3200
118631,714
118631,3170
118631,2283
118631,2830
118631,2331
118631,2875
118631,3600
118182,1681
118182,1521
118182,2551
118182,2342
118182,2803
118182,3331
118182,714
118182,828
118182,2263
118182,3200
118182,1521
118182,1117
118182,1290
118182,3600
118182,792
118182,794
118182,1395
118182,2440
118182,685
118182,1179
49044,3718
49044,1733
49044,3671
49044,1474
49044,3331
49044,1346
49044,303
49044,552
49044,3519
49044,3314
49044,1548
49044,3081
49044,1741
118615,3208
118615,-1
118615,3348
118615,2589
118615,581
118615,2837
118615,557
118615,1030
118615,792
118615,3081
118615,2386
118615,1910
118615,1372
118615,592
118615,2752
118615,963
118615,2440
50276,1729
50276,1754
50276,3331
50276,3072
50276,1030
50276,3647
50276,1252
50276,3230
50276,1176
50276,3068
50276,3002
50276,2232
50276,1069
50276,2770
49874,2790
49874,2263
49874,714
49874,1117
49874,794
117979,1662
117979,2803
117979,232
117979,1409
117979,3365
117979,198
117979,1409
117979,3234
117979,3354
117979,714
117979,1955
117979,3144
117979,1050
117979,3650
113519,2375
113519,2803
113519,2551
113519,776
113519,3423
113519,3158
113519,3082
113519,1521
113519,685
113519,368
118238,1754
118238,3226
118238,1503
118238,3431
118238,1521
118238,792
118238,714
118238,2102
118238,1117
118238,426
118238,3666
118238,2403
118238,2745
118238,2440
118238,3600
113414,1973
113414,1660
113414,3283
113414,2669
113414,3167
113414,323
113414,914
113414,734
113414,3208
113414,3347
113414,983
113887,581
113887,2289
113887,2628
113887,1409
113887,59
113887,1883
113887,714
113887,2794
113887,1733
113887,1521
113887,535
113887,1252
117811,162
117811,1781
117811,3600
117668,3431
117668,782
117668,1521
117668,2263
117668,1160
117668,270
117668,2104
113901,2566
113901,3116
113901,1521
113901,2119
113901,2551
113901,2607
113901,1445
113781,3180
113781,184
113781,58
113781,2581
114012,1431
114012,2803
114012,2197
114012,3040
114012,2551
114012,3587
114012,3641
114012,3298
114012,3256
114012,1109
114012,2803
113808,2263
113808,714
113808,2581
113808,2217
113808,3630
114075,914
114075,1669
114075,2283
114075,1741
114075,685
114075,1586
114075,618
114075,1050
49458,3315
49458,725
49458,963
49458,1252
49458,3587
49458,3331
49458,714
49458,1521
49458,1754
49458,3331
49458,1503
49458,1388
49458,730
49458,2587
49458,881
49458,1444
50226,2358
50226,1754
50226,1733
50226,3519
50226,714
50226,1521
50226,299
50226,782
50226,2803
50226,899
50226,59
117470,1910
117470,3509
117470,-1
117470,1521
117470,685
117470,3208
117470,1754
117470,557
117470,714
117470,792
117470,2283
117470,2181
117470,2331
117470,2243
117470,1445
117470,794
117470,3600
113616,635
113616,1075
113616,2862
113616,1521
113616,652
113616,2263
113616,685
112935,800
112935,2964
112935,823
112935,3574
112935,2601
112935,1521
112935,685
112935,3186
49056,3089
49056,3234
49056,3616
49056,3264
49056,951
113657,260
113657,2283
113657,914
113657,188
113657,3036
113657,963
113657,1521
113657,685
113657,706
49586,3089
49586,2656
49586,3264
49586,2140
49586,3347
49586,1741
50444,195
50444,1286
49946,2587
49946,1027
49946,1754
49946,3331
49946,3170
49946,714
49946,1759
49946,3488
49946,3682
49946,83
111661,3208
111661,1177
111661,1521
111661,3127
111661,397
111661,714
111661,1115
111661,2803
111661,1252
112614,1258
112614,2506
112614,275
112614,2148
112614,1539
113162,3472
113162,29
113162,3718
113162,1937
113162,372
113162,1324
111667,581
111667,557
111667,1030
111667,2217
111667,2283
111667,299
111667,2611
111667,3181
111667,794
111667,3488
50080,2396
50080,847
50080,1549
50080,1754
50080,3331
